date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-03-06,13-30,android,1.2.1,21
2021-03-06,13-30,android,1.2.2,<20
2021-03-06,13-30,ios,1.2.0,<20
2021-03-06,13-30,ios,1.2.1,<20
2021-03-06,13-30,ios,1.2.2,<20
2021-03-06,30+,android,1.2.0,<20
2021-03-06,30+,android,1.2.1,<20
2021-03-06,30+,ios,1.2.0,<20
2021-03-06,7-12,android,1.2.0,1534
2021-03-06,7-12,android,1.2.1,28640
2021-03-06,7-12,android,1.2.2,6337
2021-03-06,7-12,android,1.2.3,<20
2021-03-06,7-12,android,1.2.4,<20
2021-03-06,7-12,android,1.2.7,<20
2021-03-06,7-12,android,1.2.8,<20
2021-03-06,7-12,android,1.2.9,<20
2021-03-06,7-12,ios,1.2.0,24604
2021-03-06,7-12,ios,1.2.1,433536
2021-03-06,7-12,ios,1.2.2,220217
2021-03-06,7-12,ios,1.2.3,48
2021-03-06,7-12,ios,1.2.4,25
2021-03-06,7-12,ios,1.2.6,<20
2021-03-06,7-12,ios,1.2.7,<20
2021-03-06,7-12,ios,1.2.8,<20
2021-03-06,7-12,ios,1.4.0,<20
2021-03-06,7-12,ios,1.4.1,<20
2021-03-06,7-12,ios,1.4.4,<20
2021-03-06,7-12,ios,1.4.6,<20
2021-03-07,1-6,android,1.2.0,9409
2021-03-07,1-6,android,1.2.1,177319
2021-03-07,1-6,android,1.2.2,364520
2021-03-07,1-6,android,1.2.3,704
2021-03-07,1-6,android,1.2.4,100
2021-03-07,1-6,android,1.2.5,28
2021-03-07,1-6,android,1.2.6,22
2021-03-07,1-6,android,1.2.7,43
2021-03-07,1-6,android,1.2.8,29
2021-03-07,1-6,android,1.2.9,35
2021-03-07,1-6,android,1.4.2,<20
2021-03-07,1-6,android,1.4.3,<20
2021-03-07,1-6,android,1.4.4,<20
2021-03-07,1-6,ios,1.2.0,67893
2021-03-07,1-6,ios,1.2.1,416812
2021-03-07,1-6,ios,1.2.2,1178998
2021-03-07,1-6,ios,1.2.3,94
2021-03-07,1-6,ios,1.2.4,27
2021-03-07,1-6,ios,1.2.6,<20
2021-03-07,1-6,ios,1.2.7,<20
