date,region,exposure_status,count
2021-03-21,AB,exposed,<20
2021-03-21,AB,monitoring,<20
2021-03-21,BC,exposed,<20
2021-03-21,BC,monitoring,<20
2021-03-21,MB,exposed,<20
2021-03-21,MB,monitoring,<20
2021-03-21,NB,exposed,<20
2021-03-21,NB,monitoring,<20
2021-03-21,NL,exposed,<20
2021-03-21,NL,monitoring,<20
2021-03-21,NT,exposed,<20
2021-03-21,NT,monitoring,<20
2021-03-21,NS,exposed,<20
2021-03-21,NS,monitoring,<20
2021-03-21,NU,exposed,<20
2021-03-21,NU,monitoring,<20
2021-03-21,ON,exposed,<20
2021-03-21,ON,monitoring,<20
2021-03-21,PE,exposed,<20
2021-03-21,PE,monitoring,<20
2021-03-21,QC,exposed,<20
2021-03-21,QC,monitoring,<20
2021-03-21,SK,exposed,<20
2021-03-21,SK,monitoring,<20
2021-03-21,YT,exposed,<20
2021-03-21,YT,monitoring,<20
2021-03-21,NPTS,exposed,<20
2021-03-21,NPTS,monitoring,<20
2021-03-22,AB,exposed,<20
2021-03-22,AB,monitoring,<20
2021-03-22,BC,exposed,<20
2021-03-22,BC,monitoring,<20
2021-03-22,MB,exposed,<20
2021-03-22,MB,monitoring,<20
2021-03-22,NB,exposed,<20
2021-03-22,NB,monitoring,<20
2021-03-22,NL,exposed,<20
2021-03-22,NL,monitoring,<20
2021-03-22,NT,exposed,<20
2021-03-22,NT,monitoring,<20
2021-03-22,NS,exposed,<20
2021-03-22,NS,monitoring,<20
2021-03-22,NU,exposed,<20
2021-03-22,NU,monitoring,<20
2021-03-22,ON,exposed,<20
2021-03-22,ON,monitoring,<20
2021-03-22,PE,exposed,<20
2021-03-22,PE,monitoring,<20
2021-03-22,QC,exposed,<20
2021-03-22,QC,monitoring,<20
2021-03-22,SK,exposed,<20
2021-03-22,SK,monitoring,<20
2021-03-22,YT,exposed,<20
2021-03-22,YT,monitoring,<20
2021-03-22,NPTS,exposed,<20
2021-03-22,NPTS,monitoring,<20
2021-03-23,AB,exposed,<20
2021-03-23,AB,monitoring,<20
2021-03-23,BC,exposed,<20
2021-03-23,BC,monitoring,<20
2021-03-23,MB,exposed,<20
2021-03-23,MB,monitoring,<20
2021-03-23,NB,exposed,<20
2021-03-23,NB,monitoring,<20
2021-03-23,NL,exposed,<20
2021-03-23,NL,monitoring,<20
2021-03-23,NT,exposed,<20
2021-03-23,NT,monitoring,<20
2021-03-23,NS,exposed,<20
2021-03-23,NS,monitoring,<20
2021-03-23,NU,exposed,<20
2021-03-23,NU,monitoring,<20
2021-03-23,ON,exposed,<20
2021-03-23,ON,monitoring,<20
2021-03-23,PE,exposed,<20
2021-03-23,PE,monitoring,<20
2021-03-23,QC,exposed,<20
2021-03-23,QC,monitoring,<20
2021-03-23,SK,exposed,<20
2021-03-23,SK,monitoring,<20
2021-03-23,YT,exposed,<20
2021-03-23,YT,monitoring,<20
2021-03-23,NPTS,exposed,<20
2021-03-23,NPTS,monitoring,<20
2021-03-24,AB,exposed,<20
2021-03-24,AB,monitoring,<20
2021-03-24,BC,exposed,<20
2021-03-24,BC,monitoring,<20
2021-03-24,MB,exposed,<20
2021-03-24,MB,monitoring,<20
