date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-05-02,1-6,android,1.2.2,9046
2021-05-02,1-6,android,1.2.3,24511
2021-05-02,1-6,android,1.2.4,24471
2021-05-02,1-6,android,1.2.5,6281
2021-05-02,1-6,android,1.2.6,18104
2021-05-02,1-6,android,1.2.7,1015454
2021-05-02,1-6,android,1.2.8,3267991
2021-05-02,1-6,android,1.2.9,2010
2021-05-02,1-6,ios,1.2.0,96565
2021-05-02,1-6,ios,1.2.1,45641
2021-05-02,1-6,ios,1.2.2,47180
2021-05-02,1-6,ios,1.2.3,109544
2021-05-02,1-6,ios,1.2.4,154106
2021-05-02,1-6,ios,1.2.6,104581
2021-05-02,1-6,ios,1.2.7,2569385
2021-05-02,1-6,ios,1.2.8,2606175
2021-05-02,1-6,ios,1.2.9,<20
2021-05-02,1-6,ios,1.4.0,<20
2021-05-02,1-6,ios,1.4.1,<20
2021-05-02,13-30,android,1.2.0,88
2021-05-02,13-30,android,1.2.1,<20
2021-05-02,13-30,android,1.2.7,22
2021-05-02,13-30,android,1.2.8,1330
2021-05-02,13-30,android,1.2.9,<20
2021-05-02,13-30,ios,1.2.0,<20
2021-05-02,13-30,ios,1.2.1,<20
2021-05-02,13-30,ios,1.2.2,<20
2021-05-02,13-30,ios,1.2.4,<20
2021-05-02,13-30,ios,1.2.6,<20
2021-05-02,13-30,ios,1.2.7,105
2021-05-02,13-30,ios,1.2.8,29346
2021-05-02,30+,ios,1.2.8,<20
2021-05-02,7-12,android,1.2.0,2420
2021-05-02,7-12,android,1.2.1,597
2021-05-02,7-12,android,1.2.2,633
2021-05-02,7-12,android,1.2.3,1565
2021-05-02,7-12,android,1.2.4,1564
2021-05-02,7-12,android,1.2.5,443
2021-05-02,7-12,android,1.2.6,1127
2021-05-02,7-12,android,1.2.7,50557
2021-05-02,7-12,android,1.2.8,403230
2021-05-02,7-12,android,1.2.9,<20
2021-05-02,7-12,ios,1.2.0,34738
2021-05-02,7-12,ios,1.2.1,17510
2021-05-02,7-12,ios,1.2.2,21210
2021-05-02,7-12,ios,1.2.3,50685
2021-05-02,7-12,ios,1.2.4,69004
2021-05-02,7-12,ios,1.2.6,42343
2021-05-02,7-12,ios,1.2.7,1381161
2021-05-02,7-12,ios,1.2.8,8944729
2021-05-02,7-12,ios,1.2.9,<20
2021-05-02,7-12,ios,1.4.0,<20
2021-05-09,1-6,android,1.2.0,15112
2021-05-09,1-6,android,1.2.1,7441
2021-05-09,1-6,android,1.2.2,8248
2021-05-09,1-6,android,1.2.3,21137
2021-05-09,1-6,android,1.2.4,19590
2021-05-09,1-6,android,1.2.5,4720
2021-05-09,1-6,android,1.2.6,12921
2021-05-09,1-6,android,1.2.7,62635
2021-05-09,1-6,android,1.2.8,4170320
2021-05-09,1-6,android,1.2.9,2785
2021-05-09,1-6,ios,1.2.0,88279
2021-05-09,1-6,ios,1.2.1,40606
2021-05-09,1-6,ios,1.2.2,41707
2021-05-09,1-6,ios,1.2.3,92108
2021-05-09,1-6,ios,1.2.4,118723
2021-05-09,1-6,ios,1.2.6,71247
2021-05-09,1-6,ios,1.2.7,322848
2021-05-09,1-6,ios,1.2.8,2595197
2021-05-09,1-6,ios,1.2.9,<20
2021-05-09,1-6,ios,1.4.0,<20
2021-05-09,13-30,android,1.2.0,76
2021-05-09,13-30,android,1.2.1,<20
2021-05-09,13-30,android,1.2.7,<20
2021-05-09,13-30,android,1.2.8,1820
2021-05-09,13-30,android,1.2.9,<20
2021-05-09,13-30,ios,1.2.0,<20
2021-05-09,13-30,ios,1.2.1,<20
2021-05-09,13-30,ios,1.2.2,<20
2021-05-09,13-30,ios,1.2.4,<20
2021-05-09,13-30,ios,1.2.6,<20
2021-05-09,13-30,ios,1.2.7,<20
2021-05-09,13-30,ios,1.2.8,44813
2021-05-09,13-30,ios,1.2.9,<20
2021-05-09,30+,ios,1.2.0,<20
2021-05-09,30+,ios,1.2.8,<20
2021-05-09,30+,ios,1.2.9,<20
2021-05-09,7-12,android,1.2.0,2260
2021-05-09,7-12,android,1.2.1,524
2021-05-09,7-12,android,1.2.2,560
2021-05-09,7-12,android,1.2.3,1348
2021-05-09,7-12,android,1.2.4,1265
2021-05-09,7-12,android,1.2.5,338
2021-05-09,7-12,android,1.2.6,854
2021-05-09,7-12,android,1.2.7,3678
2021-05-09,7-12,android,1.2.8,529105
2021-05-09,7-12,android,1.2.9,<20
2021-05-09,7-12,ios,1.2.0,31528
2021-05-09,7-12,ios,1.2.1,15436
2021-05-09,7-12,ios,1.2.2,18479
2021-05-09,7-12,ios,1.2.3,43041
2021-05-09,7-12,ios,1.2.4,54188
2021-05-09,7-12,ios,1.2.6,30021
2021-05-09,7-12,ios,1.2.7,146291
2021-05-09,7-12,ios,1.2.8,12514555
2021-05-09,7-12,ios,1.2.9,<20
2021-05-09,7-12,ios,1.4.0,<20
2021-05-16,1-6,android,1.2.0,14165
2021-05-16,1-6,android,1.2.1,6885
2021-05-16,1-6,android,1.2.2,7571
2021-05-16,1-6,android,1.2.3,19044
2021-05-16,1-6,android,1.2.4,16382
2021-05-16,1-6,android,1.2.5,3953
2021-05-16,1-6,android,1.2.6,10005
2021-05-16,1-6,android,1.2.7,38624
